COB_Group,Hiscox_COB,GL,PL,BOP,Cyber,Full_Industry_Code,Definition
Architect & Engineering,Transportation engineering,Yes,Yes,Yes,Yes,54133000_17219900_02000000,Reviews infrastructure projects and their impact on roads and railways.
Consulting,Audio/Visual consulting,No,No,Yes,Yes,54161800_13111100_01000000,"Consults on AV and sound system designs for auditoriums, theaters, classrooms, churches, and other venues."
Consulting,Business consulting,Yes,Yes,Yes,Yes,54161100_13111100_01000000,Provides advice to companies to help them improve performance through the analysis of existing business problems and development of future plans.
Consulting,Education consulting,Yes,Yes,Yes,Yes,54161100_13111100_02000000,Advises clients in the education sector to help them improve performance through the analysis of existing problems and development of future plans.
Consulting,Environmental consulting,No,No,No,Yes,54162000_13111100_00000000,Offers expert assessment and advisory services for clients on matters pertaining to the management of environmental issues and environmental compliance.
Consulting,Healthcare consulting,No,No,Yes,Yes,54161100_13111100_03000000,"Analyzes and advises healthcare companies from a business perspective to increase efficiency, reduce costs, and alleviate complexities in their operating model."
Consulting,Human Resources (HR) consulting,Yes,Yes,Yes,Yes,54161200_11312100_00000000,Provides advice to companies to help them improve their human resources policies and procedures by analyzing a company's HR programs and recommending solutions.
Consulting,Life science consulting,No,No,Yes,Yes,54169000_11912100_01000000,"Advises companies in the healthcare space on the most effective and efficient ways of delivering their products or services to market; assists with operational, compliance, and investigative issues."
Consulting,Management consulting,Yes,Yes,Yes,Yes,54161100_13111100_04000000,Offers advice to companies to help them improve performance through the analysis of existing business problems and development of future plans.
Consulting,Other consulting services,Yes,Yes,Yes,Yes,54161100_13111100_05000000,"Provides specialized professional advice or expertise not classified elsewhere, such as technical, operational, or industry-specific consulting, to help clients solve problems or improve performance."
Consulting,Project management,Yes,Yes,Yes,Yes,54161800_13108200_00000000,"Plans, coordinates, and manages projects for clients, overseeing timelines, resources, and deliverables to ensure successful completion, but does not perform design or construction work."
Consulting,Research consulting,Yes,Yes,Yes,Yes,54169000_13111100_00000000,"Conducts research and analysis for clients, offering expert guidance on data collection, methodology, and interpretation to support business, scientific, or policy decisions."
Consulting,Resume consulting,Yes,Yes,Yes,Yes,54161100_13111100_06000000,Helps individuals develop their resumes for use in seeking employment; may also be classified as a document preparer.
Consulting,Safety consultant,Yes,Yes,Yes,Yes,54169000_11912100_02000000,"Advises organizations on workplace safety, regulatory compliance, and risk management, providing assessments, training, and recommendations to reduce hazards and improve safety practices."
Consulting,Strategy consultant,Yes,Yes,Yes,Yes,54161100_13111100_07000000,"Provides expert advice to organizations on business strategy, market positioning, and long-term planning to improve competitiveness, growth, and operational effectiveness."
Consulting,Telecommunications consulting,No,No,Yes,Yes,54161800_13111100_02000000,"Analyzes telecommunication systems such as internet, voice, and video services within companies and may provide recommendations on upgrades or security."
Creative,Artists,No,No,Yes,Yes,71151000_27101000_00000000,"Creates original works of art using a variety of materials and techniques, including painting, sculpting, illustrating, pottery, glassware, or textiles, and sells these creations."
Creative,Commercial photography,No,No,Yes,Yes,54192200_27402100_00000000,"Takes photographs or videos for commercial clients, producing content for events or advertising. (See also ""Photography"")"
Creative,Graphic design,Yes,Yes,Yes,Yes,54143000_27102400_00000000,"Develops visual concepts for businesses, using computer software or manual techniques, to communicate ideas for advertisements, magazines, and reports."
Creative,Photography,Yes,Yes,Yes,Yes,54192100_27402100_01000000,"Captures photographs or videos of events such as weddings, corporate gatherings, and parties."
Creative,Photography studio,No,No,Yes,Yes,54192100_27402100_02000000,"Operates a studio to take, develop, print, and duplicate pictures. (See also ""Photography"")"
Creative,Videography,No,No,Yes,Yes,54192200_27403100_00000000,"Records videos of events, including weddings, corporate functions, and parties."
Financial Services,Accounting,Yes,Yes,Yes,Yes,54121100_13201100_01000000,"Keeps, audits, and inspects the financial records of individuals or businesses, and prepares financial and tax reports."
Financial Services,Actuarial services,Yes,No,Yes,Yes,52429800_15201100_00000000,"Analyzes the financial impact of risk and uncertainty, providing actuarial services."
Financial Services,Auditor,No,No,No,Yes,54121100_13201100_02000000,"Reviews and verifies the accuracy of financial records, ensuring compliance with tax laws."
Financial Services,Bookkeeping,Yes,Yes,Yes,Yes,54121900_43303100_00000000,Records financial transactions for clients as part of an accounting function.
Financial Services,Certified public accountant,No,No,Yes,Yes,54121100_13201100_03000000,"Prepares and inspects financial records, and prepares financial and tax reports as a certified public accountant (CPA)."
Financial Services,Credit counseling,Yes,No,Yes,Yes,54199000_13207100_00000000,"Offers education to clients on debt management and budgeting, helping them avoid unmanageable debts."
Financial Services,Financial auditing or consulting,Yes,No,Yes,Yes,54169000_13206100_00000000,Helps clients maintain and achieve desired investment income and risk tolerance through asset allocation.
Financial Services,Financial planner,No,No,Yes,Yes,52393000_13205200_01000000,Provides advice on investment strategies and asset management.
Financial Services,Insurance adjuster,No,No,Yes,Yes,52429800_13103100_01000000,Evaluates claims or losses and recommends settlement amounts on behalf of an insurance company or insured.
Financial Services,Insurance agent,Yes,Yes,Yes,Yes,52421000_41302100_00000000,"An insurance agent is a licensed intermediary who sells and services insurance products on behalf of insurers, without assuming underwriting authority or insurance risk."
Financial Services,Investment advice,Yes,No,Yes,Yes,52393000_13205200_02000000,A professional who helps clients maintain and achieve desired investment income and risk tolerance through asset allocation.
Financial Services,Medical billing,Yes,No,Yes,Yes,54121900_43302100_00000000,"Submits and follows up on insurance claims, processes patient invoices, and manages payments in medical billing."
Financial Services,Mortgage brokering/banking,Yes,No,Yes,No,52231000_13207200_00000000,Buys and sells shares and other securities through regulated markets as a stockbroker.
Financial Services,Office administrative services,No,No,Yes,Yes,56111000_43601000_00000000,"Handles general administrative tasks such as bookkeeping, communications, scheduling, data entry, and secretarial services."
Financial Services,Stock brokering,Yes,No,Yes,Yes,52312000_41303100_00000000,Buys and sells shares and other securities through regulated markets as a stockbroker.
Financial Services,Tax preparation,Yes,Yes,Yes,Yes,54121300_13208200_00000000,"Prepares tax returns and offers tax advice, and may represent clients in tax audits."
Landscape/Janitorial,Exterior cleaning services,Yes,No,No,Yes,56179000_37201900_02000200,"Cleans the exterior of buildings, and may also restore hygiene or remove litter and dirt."
Landscape/Janitorial,Janitorial/cleaning services,Yes,No,No,Yes,56172000_37201100_01000000,"Performs janitorial or cleaning services in various settings, including apartments, houses, office buildings, and schools, and may also handle minor repairs."
Landscape/Janitorial,Landscaping/gardening services,Yes,Yes,No,Yes,56173000_37301100_01000000,Modifies or maintains the visible features of land through landscaping or gardening services.
Landscape/Janitorial,Lawn care services,Yes,No,No,Yes,56173000_37301100_02000000,"Provides lawn care services, including maintenance and modification of outdoor areas."
Landscape/Janitorial,Power washing services,No,No,No,Yes,56179000_37201900_01000000,Uses heat and water pressure to remove organic stains such as soil or mold through power washing services.
Landscape/Janitorial,Snow blowing and removal (no auto coverage),No,No,No,Yes,56179000_37301100_01000000,"Removes snow by shoveling, scraping, or plowing, and may apply salt or other ice-melting materials."
Legal Services,Attorneys office,No,No,Yes,No,54111000_23101100_01000000,"Works in an office maintained by a lawyer or a firm of lawyers, practicing or studying law."
Legal Services,Claims adjusting,Yes,Yes,Yes,Yes,52429100_13103100_00000000,"Evaluates claims or losses and recommends settlement amounts on behalf of an insurance company or insured, with authority to settle claims."
Legal Services,Court reporting,Yes,Yes,Yes,Yes,56149200_27309200_00000000,"Transcribes spoken or recorded speeches into written form, typically for court proceedings or depositions."
Legal Services,Document preparation,Yes,Yes,Yes,Yes,56141000_23101200_00000000,"Prepares documents, including presentations, word processing, and typing services, and may proofread completed documents."
Legal Services,Expert witness services,Yes,Yes,Yes,Yes,54119900_19409200_00000000,"Provides expert knowledge on particular subjects, often testifying at court proceedings."
Legal Services,Insurance inspector,Yes,Yes,Yes,Yes,52429800_13103100_02000000,Performs residential or commercial building insurance inspection services for replacement cost valuation or condition assessment.
Legal Services,Lawyers office,No,No,Yes,No,54111000_23101100_02000000,"Works in an office maintained by a lawyer or a firm of lawyers, practicing or studying law."
Legal Services,Legal services,Yes,No,Yes,No,54111000_23101100_03000000,"Provides administrative or support services related to legal matters, such as document preparation, notary, process serving, or legal research, but does not offer legal advice or representation."
Legal Services,Notary services,Yes,Yes,Yes,Yes,54112000_23209900_00000000,Serves as a witness to attest to the validity of signatures and authenticate documents as a notary.
Legal Services,Process server,Yes,Yes,Yes,Yes,54119900_23209900_00000000,Delivers legal notices to individuals on behalf of a court as a process server.
Legal Services,Title abstracter,No,No,Yes,No,54119100_23209300_00000000,"Prepares and certifies the condensed history of property ownership, including deeds, liens, and tax forms."
Legal Services,Trustee services,Yes,No,Yes,Yes,52399100_23209900_00000000,"Holds, manages, or invests assets for the benefit of another person as a trustee."
Marketing/PR,Advertising,Yes,Yes,Yes,Yes,54181000_41301100_00000000,Creates marketing communications designed to persuade audiences to buy products or services.
Marketing/PR,Brand consultant,Yes,Yes,Yes,Yes,54161300_13116100_01000000,"Provides analysis, solutions, and marketing expertise to enhance a company's brand and increase sales."
Marketing/PR,Communications/media/public relations,No,No,Yes,Yes,54182000_27303100_01000000,"Develops and manages communication strategies, media relations, and public messaging to shape public perception and maintain a positive image for clients or organizations."
Marketing/PR,Digital marketing,Yes,Yes,Yes,Yes,54161300_13116100_02000000,"Helps companies sell services or products through advertising on the internet, mobile devices, and social media."
Marketing/PR,Direct marketing,Yes,Yes,Yes,Yes,54186000_13116100_00000000,"A consulting or agency service that helps clients define target audiences, develop strategies, and execute campaigns—often via direct mail, email, or similar channels."
Marketing/PR,Image consulting,No,No,Yes,Yes,54182000_27303100_02000000,"Advises businesses and individuals on cultivating a professional or updated appearance, including communication skills and behavior."
Marketing/PR,Market research,Yes,Yes,Yes,Yes,54191000_13116100_00000000,Collects and analyzes data about target markets or competitors to inform business decisions.
Marketing/PR,Marketing/media consulting,Yes,Yes,Yes,Yes,54161300_13116100_03000000,Works with companies to create and implement marketing strategies that improve sales of products or services.
Marketing/PR,Other marketing/PR services,Yes,Yes,Yes,Yes,54161300_13116100_04000000,"Offers advice to companies on marketing, public relations, market research, product development, and branding strategies."
Marketing/PR,Public relations,Yes,Yes,Yes,Yes,54182000_27303100_03000000,Crafts media releases and develops social media programs to shape public perception and maintain a favorable public image.
Marketing/PR,Search engine services (SEO/SEM),Yes,Yes,Yes,Yes,54161400_13116100_00000000,Provides advice to companies on improving website performance by analyzing web traffic data and identifying online trends.
Marketing/PR,Social media consultant,Yes,Yes,Yes,Yes,54161300_13116100_05000000,"Advises companies and individuals on using social media for advertising, marketing, or brand creation."
Medical & Dental Offices,Allergists Offices,No,No,Yes,Yes,62111100_29122900_01000000,"Works in the office of an allergist, a physician trained to diagnose, treat, and manage allergies."
Medical & Dental Offices,Cardiologists Offices,No,No,Yes,Yes,62111100_29121200_00000000,"Works in the office of a cardiologist, a doctor specializing in heart and blood vessel diseases."
Medical & Dental Offices,Chiropractor,No,No,Yes,Yes,62131000_29101100_00000000,"Focuses on diagnosing and treating musculoskeletal issues, particularly those related to the spine."
Medical & Dental Offices,Dental Hygienist,No,No,Yes,Yes,62139900_29129200_00000000,"Cleans teeth, takes dental x-rays, and provides related dental care as a trained and licensed dental hygienist."
Medical & Dental Offices,Dental Laboratories,No,No,Yes,Yes,33911600_29201100_00000000,"Prepares, constructs, assembles, or fills orders for dental models and appliances in a dental laboratory."
Medical & Dental Offices,Dentists Office,No,No,Yes,Yes,62121000_29102100_00000000,"Works in the office of a dentist, specializing in dental care and treatment."
Medical & Dental Offices,Dermatologists Offices,No,No,Yes,Yes,62111100_29121300_00000000,"Works in the office of a dermatologist, specializing in skin health and treatment."
Medical & Dental Offices,Diagnostic imaging/X-ray centers,No,No,Yes,Yes,62151200_29201100_00000000,Takes images and x-rays to create visual representations of the interior of a body for clinical analysis and medical intervention.
Medical & Dental Offices,"Ear, Nose, & Throat Offices",No,No,Yes,Yes,62111100_29122900_02000000,"Works in the office of an ear, nose, and throat (ENT) specialist, assisting with diagnosis and treatment of related conditions."
Medical & Dental Offices,Endocrinologists Offices,No,No,Yes,Yes,62111100_29122900_03000000,"Supports endocrinologists in their offices, focusing on the diagnosis and treatment of endocrine gland and hormone disorders."
Medical & Dental Offices,Gastroenterologist Offices,No,No,Yes,Yes,62111100_29122900_04000000,Assists gastroenterologists in offices specializing in digestive system health and treatment.
Medical & Dental Offices,General Practitioners Offices,No,No,Yes,Yes,62111100_29121500_01000000,"Works in the office of a general practitioner, providing family medicine services."
Medical & Dental Offices,Geriatric Specialists Offices,No,No,Yes,Yes,62111100_29122900_05000000,Supports geriatric specialists in caring for the health and well-being of senior adults.
Medical & Dental Offices,Gynecologists Offices,No,No,Yes,Yes,62111100_29121800_01000000,Assists gynecologists and obstetricians in offices focused on women's reproductive health.
Medical & Dental Offices,Health Practitioners Office,No,No,Yes,Yes,62139900_29122900_00000000,"Works in the office of a health practitioner, providing general family medicine services."
Medical & Dental Offices,Hematologists Offices,No,No,Yes,Yes,62111100_29122900_06000000,"Supports hematologists in diagnosing and treating blood, blood-forming organs, and blood diseases."
Medical & Dental Offices,Internists Offices,No,No,Yes,Yes,62111100_29121600_00000000,Assists internists in offices specializing in primary care screening and treatment of common adult health problems.
Medical & Dental Offices,Medical doctor/physician,No,No,Yes,Yes,62111100_29121500_02000000,"Works in the office of a medical doctor or physician, providing general medical care."
Medical & Dental Offices,Medical Laboratories,No,No,Yes,Yes,62151100_29201100_00000000,Supports medical laboratories by taking images and x-rays for clinical analysis and medical intervention.
Medical & Dental Offices,Nephrologists Offices,No,No,Yes,Yes,62111100_29122900_07000000,Assists nephrologists in offices focused on kidney health and treatment.
Medical & Dental Offices,Neurologists Offices,No,No,Yes,Yes,62111100_29121700_00000000,Supports neurologists in diagnosing and treating brain and nervous system disorders.
Medical & Dental Offices,Obstetricians Offices,No,No,Yes,Yes,62111100_29121800_02000000,"Works in the office of an obstetrician or gynecologist, specializing in women's health and reproductive care."
Medical & Dental Offices,Oncologists Offices,No,No,Yes,Yes,62111100_29122900_08000000,Assists oncologists in offices focused on cancer diagnosis and treatment.
Medical & Dental Offices,Ophthalmologists Offices,No,No,Yes,Yes,62111100_29124100_00000000,"Supports ophthalmologists in providing comprehensive eye care, including diagnosis, treatment, surgery, and vision correction."
Medical & Dental Offices,Optometrist/Ophthalmologist,No,No,Yes,Yes,62132000_29104100_00000000,"Specializes in eye care as an optometrist or ophthalmologist, providing medical and vision services."
Medical & Dental Offices,Oral Surgeons Offices,No,No,Yes,Yes,62121000_29102200_01000000,"Works in the office of an oral surgeon, specializing in surgical dental procedures."
Medical & Dental Offices,Orthodontist/Periodontist/Oral surgeon,No,No,Yes,Yes,62121000_29102200_02000000,"Supports orthodontists, periodontists, and oral surgeons in providing specialized dental care."
Medical & Dental Offices,Orthodontists Offices,No,No,Yes,Yes,62121000_29102300_00000000,Supports orthodontists providing specialized dental care.
Medical & Dental Offices,Orthopedic Surgeons Offices,No,No,Yes,Yes,62111100_29124200_00000000,Assists orthopedic surgeons in offices focused on joint and muscle health.
Medical & Dental Offices,Osteopaths Offices,No,No,Yes,Yes,62111100_29122900_09000000,"Supports osteopaths in providing care for joints, muscles, and the spine."
Medical & Dental Offices,Pediatricians Offices,No,No,Yes,Yes,62111100_29122100_00000000,"Works in the office of a pediatrician, specializing in children's health."
Medical & Dental Offices,Physicians Office,No,No,Yes,Yes,62111100_29122900_10000000,Assists physicians in providing general or family medicine services.
Medical & Dental Offices,Podiatrist,No,No,Yes,Yes,62139100_29108000_00000000,Specializes in foot and ankle care as a podiatrist.
Medical & Dental Offices,Primary Care Offices,No,No,Yes,Yes,62111100_29121500_03000000,"Works in the office of a primary care provider, offering general and family medicine services."
Medical & Dental Offices,Psychiatrists Offices,No,No,Yes,Yes,62111200_29122300_00000000,"Medical offices specializing in the diagnosis, treatment, and management of mental health disorders by licensed psychiatrists, including medication management and psychotherapy."
Medical & Dental Offices,Psychologists Offices,No,No,Yes,Yes,62133000_19303300_00000000,"Offices of licensed psychologists providing psychological assessment, counseling, and therapy services for individuals, couples, or groups, without prescribing medication."
Medical & Dental Offices,Pulmonologists Offices,No,No,Yes,Yes,62111100_29122900_11000000,"Supports pulmonologists in diagnosing and treating respiratory tract, airway, lung, and respiratory muscle conditions."
Medical & Dental Offices,Surgeons Offices,No,No,Yes,Yes,62111100_29124900_00000000,"Works in the office of a surgeon, providing support for various surgical specialties."
Medical & Dental Offices,Urologists Offices,No,No,Yes,Yes,62111100_29122900_12000000,Assists urologists in offices focused on urinary tract and male reproductive system health.
Miscellaneous,Alumni non profit,No,No,No,Yes,81341000_11203300_00000000,Works for a non-profit organization focused on fundraising for an alma mater.
Miscellaneous,Answering/paging services,Yes,Yes,Yes,Yes,56142100_43201100_00000000,Provides switchboard operations and answering services for businesses and individuals.
Miscellaneous,Auctioneering,Yes,Yes,Yes,Yes,45439000_41909900_00000000,"Conducts auctions, buying and selling goods or property through a bidding process to secure the best price for clients."
Miscellaneous,Business manager services,Yes,Yes,Yes,Yes,56149900_13101100_00000000,"Manages and runs multiple aspects of a client’s affairs, including planning, operations, marketing, and financial matters as a business manager."
Miscellaneous,Business non profit,No,No,Yes,Yes,81391000_11203300_01000000,"Works for a not-for-profit organization formed for charitable, literary, artistic, scientific, or educational purposes."
Miscellaneous,Chamber of commerce,No,No,Yes,Yes,81391000_11915100_00000000,"Participates in a chamber of commerce, an association or network of business people designed to promote and protect members’ interests."
Miscellaneous,Charitable foundation,No,No,Yes,Yes,81321100_11203300_00000000,"Operates a private, non-profit charitable foundation with objectives centered on philanthropy and social well-being."
Miscellaneous,Civic non profit,No,No,Yes,Yes,81391000_11203300_02000000,"Non-profit organizations focused on civic, community, or public benefit activities, such as advocacy, education, or volunteer services, typically funded by donations or grants."
Miscellaneous,Delivery service providers,No,No,No,Yes,49221000_11101100_00000000,Provides delivery and courier services for consumers and businesses.
Miscellaneous,Event planning/promotion,Yes,Yes,No,Yes,81299000_13112100_00000000,"Plans, promotes, budgets, schedules, coordinates, and conducts events such as weddings, festivals, parties, or corporate events."
